Iter, Time (min), DI, DII, DIII, PI, PII, SI, SII, SIII, SIIII, 
9301, 1440.000000, 1.201209, 1.201209, 1.201209, 1.547088, 1.547088, 0.299129, 0.299129, 2.332500, 2.332500, 
10321, 1500.000000, 1.218579, 1.218579, 1.218579, 1.874518, 1.874518, 0.303289, 0.303289, 2.388923, 2.388923, 
11319, 1560.000000, 1.226610, 1.226610, 1.226610, 2.145781, 2.145781, 0.304748, 0.304748, 2.422299, 2.422299, 
12339, 1620.000000, 1.231147, 1.231147, 1.231147, 2.361249, 2.361249, 0.305500, 0.305500, 2.443632, 2.443632, 
13401, 1680.000000, 1.234089, 1.234089, 1.234089, 2.529448, 2.529448, 0.305963, 0.305963, 2.458292, 2.458292, 
14484, 1740.000000, 1.236106, 1.236106, 1.236106, 2.661501, 2.661501, 0.306278, 0.306278, 2.468963, 2.468963, 
15581, 1800.000000, 1.237607, 1.237607, 1.237607, 2.766797, 2.766797, 0.306506, 0.306506, 2.477080, 2.477080, 
16661, 1860.000000, 1.238756, 1.238756, 1.238756, 2.851874, 2.851874, 0.306681, 0.306681, 2.483434, 2.483434, 
17741, 1920.000000, 1.239700, 1.239700, 1.239700, 2.921620, 2.921620, 0.306818, 0.306818, 2.488484, 2.488484, 
18821, 1980.000000, 1.240446, 1.240446, 1.240446, 2.979896, 2.979896, 0.306929, 0.306929, 2.492747, 2.492747, 
19907, 2040.000000, 1.241083, 1.241083, 1.241083, 3.018483, 3.018483, 0.307021, 0.307021, 2.496252, 2.496252, 
21047, 2100.000000, 1.241587, 1.241587, 1.241587, 3.029832, 3.029832, 0.307099, 0.307099, 2.499254, 2.499254, 
22187, 2160.000000, 1.242076, 1.242076, 1.242076, 3.032027, 3.032027, 0.307165, 0.307165, 2.501852, 2.501852, 
23328, 2220.000000, 1.242463, 1.242463, 1.242463, 3.031610, 3.031610, 0.307223, 0.307223, 2.504085, 2.504085, 
24468, 2280.000000, 1.242808, 1.242808, 1.242808, 3.030266, 3.030266, 0.307273, 0.307273, 2.506038, 2.506038, 
25608, 2340.000000, 1.243119, 1.243119, 1.243119, 3.028900, 3.028900, 0.307317, 0.307317, 2.507790, 2.507790, 
26729, 2400.000000, 1.243352, 1.243352, 1.243352, 3.027645, 3.027645, 0.307357, 0.307357, 2.509353, 2.509353, 
27809, 2460.000000, 1.243610, 1.243610, 1.243610, 3.026376, 3.026376, 0.307392, 0.307392, 2.510739, 2.510739, 
28845, 2520.000000, 1.243848, 1.243848, 1.243848, 3.025389, 3.025389, 0.307424, 0.307424, 2.512016, 2.512016, 
29863, 2580.000000, 1.244018, 1.244018, 1.244018, 3.024263, 3.024263, 0.307452, 0.307452, 2.513190, 2.513190, 
30841, 2640.000000, 1.244224, 1.244224, 1.244224, 3.023379, 3.023379, 0.307479, 0.307479, 2.514271, 2.514271, 
31801, 2700.000000, 1.244366, 1.244366, 1.244366, 3.022512, 3.022512, 0.307502, 0.307502, 2.515201, 2.515201, 
32761, 2760.000000, 1.244546, 1.244546, 1.244546, 3.021716, 3.021716, 0.307524, 0.307524, 2.516102, 2.516102, 
33721, 2820.000000, 1.244667, 1.244667, 1.244667, 3.020933, 3.020933, 0.307544, 0.307544, 2.516920, 2.516920, 
34681, 2880.000000, 1.244828, 1.244828, 1.244828, 3.020243, 3.020243, 0.307563, 0.307563, 2.517657, 2.517657, 
35620, 2940.000000, 1.244932, 1.244932, 1.244932, 3.019521, 3.019521, 0.307580, 0.307580, 2.518375, 2.518375, 
36520, 3000.000000, 1.245028, 1.245028, 1.245028, 3.018909, 3.018909, 0.307596, 0.307596, 2.519016, 2.519016, 
37420, 3060.000000, 1.245168, 1.245168, 1.245168, 3.018349, 3.018349, 0.307611, 0.307611, 2.519643, 2.519643, 
38320, 3120.000000, 1.245253, 1.245253, 1.245253, 3.017905, 3.017905, 0.307625, 0.307625, 2.520197, 2.520197, 
39209, 3180.000000, 1.245331, 1.245331, 1.245331, 3.017382, 3.017382, 0.307638, 0.307638, 2.520737, 2.520737, 
40049, 3240.000000, 1.245406, 1.245406, 1.245406, 3.016924, 3.016924, 0.307650, 0.307650, 2.521268, 2.521268, 
40889, 3300.000000, 1.245526, 1.245526, 1.245526, 3.016411, 3.016411, 0.307662, 0.307662, 2.521727, 2.521727, 
41722, 3360.000000, 1.245592, 1.245592, 1.245592, 3.015993, 3.015993, 0.307673, 0.307673, 2.522178, 2.522178, 
42502, 3420.000000, 1.245654, 1.245654, 1.245654, 3.015671, 3.015671, 0.307683, 0.307683, 2.522620, 2.522620, 
43334, 3480.000000, 1.245713, 1.245713, 1.245713, 3.015235, 3.015235, 0.307692, 0.307692, 2.522995, 2.522995, 
44177, 3540.000000, 1.245769, 1.245769, 1.245769, 3.014909, 3.014909, 0.307702, 0.307702, 2.523422, 2.523422, 
44983, 3600.000000, 1.245872, 1.245872, 1.245872, 3.014599, 3.014599, 0.307710, 0.307710, 2.523783, 2.523783, 
45681, 3660.000000, 1.245923, 1.245923, 1.245923, 3.014221, 3.014221, 0.307719, 0.307719, 2.524138, 2.524138, 
46341, 3720.000000, 1.245971, 1.245971, 1.245971, 3.013973, 3.013973, 0.307726, 0.307726, 2.524428, 2.524428, 
47001, 3780.000000, 1.246017, 1.246017, 1.246017, 3.013691, 3.013691, 0.307734, 0.307734, 2.524773, 2.524773, 
47636, 3840.000000, 1.246060, 1.246060, 1.246060, 3.013348, 3.013348, 0.307741, 0.307741, 2.525053, 2.525053, 
48236, 3900.000000, 1.246102, 1.246102, 1.246102, 3.013086, 3.013086, 0.307748, 0.307748, 2.525328, 2.525328, 
48836, 3960.000000, 1.246192, 1.246192, 1.246192, 3.012883, 3.012883, 0.307754, 0.307754, 2.525599, 2.525599, 
49448, 4020.000000, 1.246231, 1.246231, 1.246231, 3.012602, 3.012602, 0.307761, 0.307761, 2.525867, 2.525867, 
50108, 4080.000000, 1.246267, 1.246267, 1.246267, 3.012382, 3.012382, 0.307767, 0.307767, 2.526130, 2.526130, 
50776, 4140.000000, 1.246303, 1.246303, 1.246303, 3.012125, 3.012125, 0.307772, 0.307772, 2.526390, 2.526390, 
51496, 4200.000000, 1.246337, 1.246337, 1.246337, 3.011914, 3.011914, 0.307778, 0.307778, 2.526587, 2.526587, 
52216, 4260.000000, 1.246369, 1.246369, 1.246369, 3.011696, 3.011696, 0.307783, 0.307783, 2.526841, 2.526841, 
52936, 4320.000000, 1.246400, 1.246400, 1.246400, 3.011493, 3.011493, 0.307788, 0.307788, 2.527032, 2.527032, 
