Iter, Time (min), DI, DII, DIII, PI, PII, SI, SII, SIII, SIIII, 
59, 60.000000, 0.006913, 0.006913, 0.006913, 0.004754, 0.004754, 0.006273, 0.006273, 0.006828, 0.006828, 
119, 120.000000, 0.030113, 0.030113, 0.030113, 0.009683, 0.009683, 0.017066, 0.017066, 0.032640, 0.032640, 
179, 180.000000, 0.077745, 0.077745, 0.077745, 0.014313, 0.014313, 0.029595, 0.029595, 0.115790, 0.115790, 
261, 240.000000, 0.136827, 0.136827, 0.136827, 0.016744, 0.016744, 0.042396, 0.042396, 0.272261, 0.272261, 
375, 300.000000, 0.198598, 0.198598, 0.198598, 0.017526, 0.017526, 0.055229, 0.055229, 0.475596, 0.475596, 
555, 360.000000, 0.260869, 0.260869, 0.260869, 0.017716, 0.017716, 0.068065, 0.068065, 0.698669, 0.698669, 
735, 420.000000, 0.323226, 0.323226, 0.323226, 0.017757, 0.017757, 0.080902, 0.080902, 0.928744, 0.928744, 
915, 480.000000, 0.385598, 0.385598, 0.385598, 0.017766, 0.017766, 0.093739, 0.093739, 1.084896, 1.084896, 
1142, 540.000000, 0.447971, 0.447971, 0.447971, 0.017768, 0.017768, 0.106576, 0.106576, 1.162728, 1.162728, 
1382, 600.000000, 0.510345, 0.510345, 0.510345, 0.017768, 0.017768, 0.119412, 0.119412, 1.240553, 1.240553, 
1622, 660.000000, 0.572719, 0.572719, 0.572719, 0.017771, 0.017771, 0.132249, 0.132249, 1.318397, 1.318397, 
1909, 720.000000, 0.635093, 0.635093, 0.635093, 0.017776, 0.017776, 0.145086, 0.145086, 1.396231, 1.396231, 
2228, 780.000000, 0.697467, 0.697467, 0.697467, 0.017779, 0.017779, 0.157923, 0.157923, 1.474061, 1.474061, 
2588, 840.000000, 0.759841, 0.759841, 0.759841, 0.017780, 0.017780, 0.170760, 0.170760, 1.551914, 1.551914, 
2959, 900.000000, 0.822215, 0.822215, 0.822215, 0.018183, 0.018183, 0.183597, 0.183597, 1.629842, 1.629842, 
3379, 960.000000, 0.884588, 0.884588, 0.884588, 0.020984, 0.020984, 0.196434, 0.196434, 1.707695, 1.707695, 
3865, 1020.000000, 0.946962, 0.946962, 0.946962, 0.023016, 0.023016, 0.209271, 0.209271, 1.785606, 1.785606, 
4449, 1080.000000, 1.008792, 1.008792, 1.008792, 0.024046, 0.024046, 0.222108, 0.222108, 1.863416, 1.863416, 
5100, 1140.000000, 1.045273, 1.045273, 1.045273, 0.032556, 0.032556, 0.234944, 0.234944, 1.941287, 1.941287, 
5834, 1200.000000, 1.076479, 1.076479, 1.076479, 0.040783, 0.040783, 0.247781, 0.247781, 2.019247, 2.019247, 
6655, 1260.000000, 1.107646, 1.107646, 1.107646, 0.225863, 0.225863, 0.260618, 0.260618, 2.097501, 2.097501, 
7495, 1320.000000, 1.138833, 1.138833, 1.138833, 0.707995, 0.707995, 0.273455, 0.273455, 2.175802, 2.175802, 
8355, 1380.000000, 1.170039, 1.170039, 1.170039, 1.193663, 1.193663, 0.286292, 0.286292, 2.254144, 2.254144, 
